Period,Accomodation type,Travel,Tourists
01-Mar-20,Holiday park,International,88000
01-Apr-20,Holiday park,International,11000
01-May-20,Holiday park,International,27000
01-Jun-20,Holiday park,International,163000
01-Jul-20,Holiday park,International,315000
01-Aug-20,Holiday park,International,226000
01-Sep-20,Holiday park,International,178000
01-Oct-20,Holiday park,International,82000
01-Nov-20,Holiday park,International,19000
01-Dec-20,Holiday park,International,14000
01-Jan-21,Holiday park,International,14000
01-Feb-21,Holiday park,International,42000
01-Mar-21,Holiday park,International,15000
01-Apr-21,Holiday park,International,22000
01-May-21,Holiday park,International,34000
01-Jun-21,Holiday park,International,73000
01-Jul-21,Holiday park,International,230000
01-Jan-12,Holiday park,Domestic,328000
01-Feb-12,Holiday park,Domestic,331000
01-Mar-12,Holiday park,Domestic,364000
01-Apr-12,Holiday park,Domestic,496000
01-May-12,Holiday park,Domestic,564000
01-Jun-12,Holiday park,Domestic,450000
01-Jul-12,Holiday park,Domestic,473000
01-Aug-12,Holiday park,Domestic,539000
01-Sep-12,Holiday park,Domestic,428000
01-Oct-12,Holiday park,Domestic,537000
01-Nov-12,Holiday park,Domestic,373000
01-Dec-12,Holiday park,Domestic,374000
01-Jan-13,Holiday park,Domestic,283000
01-Feb-13,Holiday park,Domestic,351000
01-Mar-13,Holiday park,Domestic,338000
01-Apr-13,Holiday park,Domestic,453000
01-May-13,Holiday park,Domestic,637000
01-Jun-13,Holiday park,Domestic,433000
01-Jul-13,Holiday park,Domestic,509000
01-Aug-13,Holiday park,Domestic,598000
01-Sep-13,Holiday park,Domestic,486000
01-Oct-13,Holiday park,Domestic,511000
01-Nov-13,Holiday park,Domestic,363000
01-Dec-13,Holiday park,Domestic,397000
01-Jan-14,Holiday park,Domestic,304000
01-Feb-14,Holiday park,Domestic,342000
01-Mar-14,Holiday park,Domestic,377000
01-Apr-14,Holiday park,Domestic,417000
01-May-14,Holiday park,Domestic,634000
01-Jun-14,Holiday park,Domestic,534000
01-Jul-14,Holiday park,Domestic,442000
01-Aug-14,Holiday park,Domestic,595000
01-Sep-14,Holiday park,Domestic,494000
01-Oct-14,Holiday park,Domestic,582000
01-Nov-14,Holiday park,Domestic,351000
01-Dec-14,Holiday park,Domestic,374000
01-Jan-15,Holiday park,Domestic,300000
01-Feb-15,Holiday park,Domestic,397000
01-Mar-15,Holiday park,Domestic,376000
01-Apr-15,Holiday park,Domestic,433000
01-May-15,Holiday park,Domestic,680000
01-Jun-15,Holiday park,Domestic,506000
01-Jul-15,Holiday park,Domestic,535000
01-Aug-15,Holiday park,Domestic,595000
01-Sep-15,Holiday park,Domestic,467000
01-Oct-15,Holiday park,Domestic,626000
01-Nov-15,Holiday park,Domestic,409000
01-Dec-15,Holiday park,Domestic,389000
01-Jan-16,Holiday park,Domestic,275000
01-Feb-16,Holiday park,Domestic,418000
01-Mar-16,Holiday park,Domestic,364000
01-Apr-16,Holiday park,Domestic,478000
01-May-16,Holiday park,Domestic,630000
01-Jun-16,Holiday park,Domestic,465000
01-Jul-16,Holiday park,Domestic,494000
01-Aug-16,Holiday park,Domestic,616000
01-Sep-16,Holiday park,Domestic,526000
01-Oct-16,Holiday park,Domestic,612000
01-Nov-16,Holiday park,Domestic,352000
01-Dec-16,Holiday park,Domestic,362000
01-Jan-17,Holiday park,Domestic,374000
01-Feb-17,Holiday park,Domestic,348000
01-Mar-17,Holiday park,Domestic,425000
01-Apr-17,Holiday park,Domestic,503000
01-May-17,Holiday park,Domestic,637000
01-Jun-17,Holiday park,Domestic,541000
01-Jul-17,Holiday park,Domestic,510000
01-Aug-17,Holiday park,Domestic,589000
01-Sep-17,Holiday park,Domestic,533000
01-Oct-17,Holiday park,Domestic,619000
01-Nov-17,Holiday park,Domestic,385000
01-Dec-17,Holiday park,Domestic,395000
01-Jan-18,Holiday park,Domestic,360000
01-Feb-18,Holiday park,Domestic,365000
01-Mar-18,Holiday park,Domestic,451000
01-Apr-18,Holiday park,Domestic,524000
01-May-18,Holiday park,Domestic,605000
01-Jun-18,Holiday park,Domestic,530000
01-Jul-18,Holiday park,Domestic,474000
01-Aug-18,Holiday park,Domestic,641000
01-Sep-18,Holiday park,Domestic,479000
01-Oct-18,Holiday park,Domestic,624000
01-Nov-18,Holiday park,Domestic,399000
01-Dec-18,Holiday park,Domestic,420000
01-Jan-19,Holiday park,Domestic,345000
01-Feb-19,Holiday park,Domestic,384000
01-Mar-19,Holiday park,Domestic,483000
01-Apr-19,Holiday park,Domestic,547000
01-May-19,Holiday park,Domestic,621000
01-Jun-19,Holiday park,Domestic,613000
01-Jul-19,Holiday park,Domestic,506000
01-Aug-19,Holiday park,Domestic,700000
01-Sep-19,Holiday park,Domestic,576000
01-Oct-19,Holiday park,Domestic,602000
01-Nov-19,Holiday park,Domestic,427000
01-Dec-19,Holiday park,Domestic,476000
01-Jan-20,Holiday park,Domestic,371000
01-Feb-20,Holiday park,Domestic,451000
01-Mar-20,Holiday park,Domestic,281000
01-Apr-20,Holiday park,Domestic,68000
01-May-20,Holiday park,Domestic,231000
01-Jun-20,Holiday park,Domestic,530000
01-Jul-20,Holiday park,Domestic,691000
01-Aug-20,Holiday park,Domestic,881000
01-Sep-20,Holiday park,Domestic,644000
01-Oct-20,Holiday park,Domestic,691000
01-Nov-20,Holiday park,Domestic,333000
01-Dec-20,Holiday park,Domestic,371000
01-Jan-21,Holiday park,Domestic,286000
01-Feb-21,Holiday park,Domestic,490000
01-Mar-21,Holiday park,Domestic,424000
01-Apr-21,Holiday park,Domestic,617000
01-May-21,Holiday park,Domestic,965000
01-Jun-21,Holiday park,Domestic,725000
01-Jul-21,Holiday park,Domestic,777000
01-Jan-12,Group accomodations,Domestic,46000
01-Jan-12,Group accomodations,International,2000
01-Feb-12,Group accomodations,Domestic,46000
01-Feb-12,Group accomodations,International,1000
01-Mar-12,Group accomodations,Domestic,80000
01-Mar-12,Group accomodations,International,3000
01-Apr-12,Group accomodations,Domestic,139000
01-Apr-12,Group accomodations,International,8000
01-May-12,Group accomodations,Domestic,181000
01-May-12,Group accomodations,International,11000
01-Jun-12,Group accomodations,Domestic,230000
01-Jun-12,Group accomodations,International,8000
01-Jul-12,Group accomodations,Domestic,102000
01-Jul-12,Group accomodations,International,14000
01-Aug-12,Group accomodations,Domestic,116000
01-Aug-12,Group accomodations,International,17000
01-Sep-12,Group accomodations,Domestic,197000
01-Sep-12,Group accomodations,International,7000
01-Oct-12,Group accomodations,Domestic,120000
01-Oct-12,Group accomodations,International,7000
